feature,abs_correlation
G3,1.0
G2,0.9185480035603523
G1,0.8263871247890487
failures,0.3933155480419926
higher,0.33217159086736114
school,0.2842941636006071
studytime,0.24978868999886308
Medu,0.24015075657359514
Fedu,0.21179967911445172
Dalc,0.20471939724815696
Walc,0.17661887420966438
address,0.16763734858992027
internet,0.15002485385078748
Mjob,0.14825209205800688
sex,0.12907748660443294
traveltime,0.12717296675842094
reason,0.12496926870515838
freetime,0.12270492583369787
age,0.10650539063847742
health,0.09885124139431796
absences,0.09137905643875593
romantic,0.09058288359599934
goout,0.08764072272424253
guardian,0.07960893515506398
schoolsup,0.06640474759529705
famrel,0.06336112772983056
activities,0.05979145042708643
famsup,0.05920555554578795
paid,0.05489790782328946
Fjob,0.05295328928380953
famsize,0.04501636801724957
nursery,0.028752359319059714
Pstatus,0.0007539250498185554
